K,beta,tune_expert_balanced_nll
2,0.0,0.85297
2,0.5,1.730943
2,1.0,3.374234
4,0.0,0.983049
4,0.5,2.215296
4,1.0,4.324461
8,0.0,1.10453
8,0.5,2.538027
8,1.0,5.011468
