expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202121,normgain,0.967,58,6610,0.5957,0.6365
2,202121,normgain,0.8287,12321,22295,0.8814,0.2549
3,202121,normgain,0.878,8666,15987,0.7248,0.3661
