metric,value
baseline_macro_f1,0.8258527814183195
moe_macro_f1,0.6925256116387247
baseline_weighted_f1,0.9972732417709446
moe_weighted_f1,0.9899594052537836
test_binary_attack_rate,0.20881746386582242
test_benign_by_binary_rate,0.7911825361341775
test_all_reject_rate,0.002535886773980918
test_multi_accept_rate,0.16166940872309707
select_mode,meta_router
threshold_mode,per_class_min
threshold_quantile,0.02
external_ood_data,
sc_ood_data,
threshold_DoS_DDoS,2.832139253616333
threshold_Scan_Brute,4.383504390716553
threshold_WebBot_Rare,1.48690927028656
