class,support,prec(B),prec(M),recall(B),recall(M),f1(B),f1(M),delta_f1
benign,454537,0.999964688174511,0.9997862615134911,0.9968165407876587,0.9879305755087044,0.9983881327790772,0.9938230620438118,-0.004565070735265464
dos-hulk,46025,0.9892873276399854,0.9523256537336955,0.9992178164041282,0.9978055404671374,0.9942277758561051,0.9745352686529157,-0.01969250720318938
portscan,31786,0.9933104095029697,0.9745604190048635,0.9996853960863273,0.9834518341408167,0.9964877069744105,0.9789859384297391,-0.017501768544671337
ddos,25606,0.998050910224925,0.9947145466557848,0.9998828399593845,0.9995704131844099,0.9989660352328371,0.9971365681672089,-0.0018294670656282541
dos-goldeneye,2059,0.9702689948088721,0.9070284697508897,0.9985429820301117,0.9902865468674114,0.9842029679272379,0.946830740654748,-0.0373722272724899
ftp-patator,1588,0.9949843260188088,1.0,0.9993702770780857,0.9943324937027708,0.9971724787935909,0.997158193874329,-1.4284919261919882e-05
ssh-patator,1179,0.9808333333333333,1.0,0.998303647158609,0.9838846480067854,0.9894913829340058,0.9918768704574604,0.002385487523454577
dos-slowloris,1159,0.9641068447412354,0.7,0.996548748921484,0.9784296807592753,0.9800593975392448,0.8161209068010076,-0.16393849073823719
dos-slowhttptest,1100,0.983739837398374,0.9567519858781994,0.99,0.9854545454545455,0.9868599909379248,0.9708911777877295,-0.01596881315019527
bot,393,0.46445497630331756,0.4231274638633377,0.9974554707379135,0.8193384223918575,0.6337914308811641,0.5580589254766031,-0.075732505404561
web-attack-�-brute-force,302,0.7907949790794979,0.05182072829131653,0.6258278145695364,0.12251655629139073,0.6987060998151571,0.07283464566929133,-0.6258714541458658
web-attack-�-xss,130,0.2747603833865815,0.00964630225080386,0.6615384615384615,0.046153846153846156,0.38826185101580135,0.015957446808510637,-0.3723044042072907
infiltration,7,0.7,0.03664921465968586,1.0,1.0,0.8235294117647058,0.0707070707070707,-0.7528223410576351
web-attack-�-sql-injection,4,0.07692307692307693,0.0014925373134328358,0.25,0.25,0.11764705882352941,0.002967359050445104,-0.1146796997730843
heartbleed,2,0.6666666666666666,1.0,1.0,1.0,0.8,1.0,0.19999999999999996
macro avg,565877,0.7898764502801436,0.6671935721943668,0.9008793330181134,0.80927700686193,0.8258527814183195,0.6925256116387247,-0.1333271697795948
weighted avg,565877,0.9977074539098816,0.9920926784684262,0.9970346912845017,0.988202383203417,0.9972732417709446,0.9899594052537836,-0.007313836517160999
