expert,frac_positive,frac_unique_positive,mean_gain_positive
1,0.2182,0.0005,4.8071
2,0.6023,0.3677,0.215
3,0.0891,0.0006,10.9745
4,0.2282,0.0003,5.3582
5,0.1616,0.026,8.2303
