expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,2560,12761,2560,585,0,0,0,0,1975,0
2,1932620,12761,186000,168392,8619,1659,3705,2647,978,0
3,251,12761,251,0,0,0,0,0,0,251
4,399,12761,399,0,0,0,399,0,0,0
5,15303,12761,15303,0,0,0,0,0,15302,1
