true_class,owner_expert,intruding_expert,false_accept_count,true_class_test_support,owner_also_in_rate,owner_lower_energy_rate,resolvable_by_argmin_rate,mean_owner_energy,owner_threshold,mean_intruder_energy,intruder_threshold
reconnaissance,recon,theft,12881,100000,0.004658023445384675,1.0,0.004658023445384675,-5.561376571655273,-6.300649166107178,-1.1153644323349,-1.0517836809158325
ddos,flood,theft,56,100000,0.0,1.0,0.0,-2.6951534748077393,-6.614262580871582,-1.099367380142212,-1.0517836809158325
ddos,flood,recon,26,100000,0.0,0.0,0.0,-2.6205060482025146,-6.614262580871582,-6.319244861602783,-6.300649166107178
theft,theft,recon,1,323,0.0,0.0,0.0,-0.8109830617904663,-1.0517836809158325,-6.309344291687012,-6.300649166107178
