expert,active_owned_classes,configured_owned_classes,singleton_expert,owned_attack_in_rate (↑),non_owned_attack_false_in_rate (↓),target_non_owned_validation_false_in_rate (↓),unseen_false_in_rate (↓),external_aux_validation_false_in_rate (↓),benign_false_in_rate (diagnostic)
flood,ddos,"ddos,dos",True,0.78695,0.0,0.0,0.67145,,0.0
recon,reconnaissance,reconnaissance,True,0.83058,0.00026913070781376156,0.0,0.01706,,0.6588893804458635
theft,theft,theft,True,0.8699690402476781,0.064685,0.01272,0.00102,,0.04120102329338898
benign,benign,benign,True,0.8862390614482162,0.00796214114205558,0.055460861417621084,0.017,,
