role,branch,count,share_of_role,accuracy
known,all_out,25090,0.12524772492424735,0.0
known,argmin,1330,0.006639277566729732,0.8210526315789474
known,owner_only,173903,0.8681129975090229,0.9254641955572934
known,ALL,200323,1.0,0.8088586932104651
unseen,all_out,31063,0.31063,1.0
unseen,argmin,1716,0.01716,0.0
unseen,owner_only,67221,0.67221,0.0
unseen,ALL,100000,1.0,0.31063
benign,all_out,776,0.07462255986152515,0.0
benign,argmin,3186,0.30637561303971533,0.0009416195856873823
benign,owner_only,6437,0.6190018270987595,0.9373931955880068
benign,ALL,10399,1.0,0.5805365900567362
