true_class,benign,ddos,reconnaissance,theft,unseen
benign,6037,0,3215,371,776
ddos,14,78695,26,36,21229
reconnaissance,515,0,83058,12604,3823
theft,4,0,1,280,38
unseen,33,67145,1706,53,31063
