a,b,agreement
global,e1,0.6119
global,e2,0.7919
global,e3,0.8846
global,e4,0.8556
e1,e2,0.6178
e1,e3,0.7255
e1,e4,0.7545
e2,e3,0.696
e2,e4,0.6729
e3,e4,0.9557
