expert,tune_rows,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202121,0.9706,322,5625,0.5719,0.1588
2,202121,0.9672,344,6293,0.7736,0.0565
3,202121,0.9069,6174,12648,0.7539,0.1576
4,202121,0.953,127,9372,0.7781,0.0569
