cluster,rows,weighted_mass,mean_residual,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
0,15780,0.7610353738130655,51.335583261518764,0,0,0,0,1,15779,0
1,1964464,0.12605576541313027,0.06096408887173921,1736581,20642,57189,131268,18784,0,0
2,7331,0.010985187683583583,1.4236384532714272,4403,0,0,0,0,2928,0
3,405,0.0007035250068651861,1.6503648453517006,0,0,0,405,0,0,0
