method,rows,balanced_accuracy,macro_auprc,ece_15bin,benign_fpr
racepfn_system,4023114,0.7386,0.7176,0.0178,0.002683
global_tabpfn,4023114,0.7358,0.7164,0.0178,0.002601
xgboost,4023114,0.7749,0.7426,0.0055,0.002662
