class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,90016,89340,-676,3493814,3493528
bot,4,4,0,41415,41415
brute_force,21110,21110,0,115020,115020
ddos,9,9,0,203302,203302
dos,4,4,0,38841,38843
infiltration,7013,7287,274,10242,10915
web_attacks,2082,2094,12,242,243
