K,beta,tune_expert_balanced_nll
2,0.0,1.681588
2,0.5,3.079539
2,1.0,6.240552
4,0.0,1.348023
4,0.5,3.009241
4,1.0,6.668227
8,0.0,1.240124
8,0.5,3.111916
8,1.0,7.043072
