expert,score,ood_role,threshold,id_retain_at_tau,ood_detect_at_tau
flood,maxsim,unseen,3.9980578422546387,0.95,0.0
flood,maxsim,aux,3.9980578422546387,0.95,0.0
flood,maxsim,non_owned_known_attack,3.9980578422546387,0.95,0.0
flood,maxsim,benign,3.9980578422546387,0.95,0.0
flood,energy_head,unseen,10.374117851257324,0.9501,0.0
flood,energy_head,aux,10.374117851257324,0.9501,0.0
flood,energy_head,non_owned_known_attack,10.374117851257324,0.9501,0.0
flood,energy_head,benign,10.374117851257324,0.9501,0.0
brute_force,maxsim,unseen,1.2020822763442993,0.9834,0.0153
brute_force,maxsim,aux,1.2020822763442993,0.9834,0.0
brute_force,maxsim,non_owned_known_attack,1.2020822763442993,0.9834,0.0
brute_force,maxsim,benign,1.2020822763442993,0.9834,0.0
brute_force,energy_head,unseen,7.17814302444458,0.9834,0.0153
brute_force,energy_head,aux,7.17814302444458,0.9834,0.0
brute_force,energy_head,non_owned_known_attack,7.17814302444458,0.9834,0.0
brute_force,energy_head,benign,7.17814302444458,0.9834,0.0
tail,maxsim,unseen,10.667308807373047,0.95,0.1047
tail,maxsim,aux,10.667308807373047,0.95,0.4474
tail,maxsim,non_owned_known_attack,10.667308807373047,0.95,0.0398
tail,maxsim,benign,10.667308807373047,0.95,0.1362
tail,energy_head,unseen,16.827390670776367,0.95,0.0618
tail,energy_head,aux,16.827390670776367,0.95,0.3553
tail,energy_head,non_owned_known_attack,16.827390670776367,0.95,0.0879
tail,energy_head,benign,16.827390670776367,0.95,0.1308
benign,maxsim,unseen,7.78494119644165,0.95,0.1032
benign,maxsim,aux,7.78494119644165,0.95,0.3479
benign,maxsim,known_attack,7.78494119644165,0.95,0.0121
benign,energy_head,unseen,13.57744312286377,0.95,0.0364
benign,energy_head,aux,13.57744312286377,0.95,0.3537
benign,energy_head,known_attack,13.57744312286377,0.95,0.014
