context,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
ref(D_global),0.870702,0.010325,0.028595,0.065837,0.015061,0.009353,0.000126
C0,0.879143,0.010432,0.028883,0.066494,0.009916,0.005028,0.000104
expert1,0.070026,0.070026,0.070026,0.070026,0.070061,0.623167,0.026667
expert2,0.155261,0.155261,0.155261,0.155261,0.155261,0.155261,0.068436
expert3,0.536455,0.113917,0.070655,0.180567,0.084506,0.010067,0.003834
expert4,0.136685,0.12639,0.12639,0.12639,0.12639,0.309626,0.04813
expert5,0.151902,0.151902,0.151902,0.182646,0.151902,0.151902,0.057846
