class,support,prec(B),prec(M),recall(B),recall(M),f1(B),f1(M),_footer,delta_f1
benign,454537,0.9999324249748283,0.9999820583551997,0.9766443655851998,0.9809586458308125,0.9881512051357392,0.9903790090701412,,0.0022278039344020284
dos-hulk,46025,0.9445266272189349,0.9477818091861137,0.9988484519282999,0.9989136338946225,0.9709283293029346,0.9726762083082098,,0.001747879005275177
portscan,31786,0.9865519597490527,0.9926268432891777,0.9993393317812873,0.9995595545208582,0.9929044761190298,0.9960811361570053,,0.003176660037975565
ddos,25606,0.9983223440365183,0.995256978462017,0.9992970397563071,0.9997656799187691,0.9988094541054316,0.9975062344139651,,-0.0013032196914665173
dos-goldeneye,2059,0.9223867205024675,0.8966419537723507,0.9985429820301117,0.9985429820301117,0.9589552238805971,0.9448529411764706,,-0.014102282704126501
ftp-patator,1588,0.9665042630937881,0.9641555285540705,0.9993702770780857,0.9993702770780857,0.9826625386996904,0.9814471243042672,,-0.0012154143954232755
ssh-patator,1179,0.6993464052287581,0.6997032640949555,0.998303647158609,1.0,0.822501747030049,0.8233240223463687,,0.0008222753163197316
dos-slowloris,1159,0.6510180995475113,0.9268488745980707,0.9930974978429681,0.994823123382226,0.7864707892039631,0.9596337910944652,,0.17316300189050216
dos-slowhttptest,1100,0.8662420382165605,0.9420916162489196,0.9890909090909091,0.990909090909091,0.9235993208828522,0.9658839167035889,,0.042284595820736626
bot,393,0.10598705501618123,0.1038583509513742,1.0,1.0,0.1916605705925384,0.1881733301412497,,-0.0034872404512887034
web-attack-�-brute-force,302,0.09009546539379475,0.24959481361426256,0.5,0.5099337748344371,0.15267947421638017,0.33514689880304677,,0.1824674245866666
web-attack-�-xss,130,0.07652303120356613,0.08590492076730609,0.7923076923076923,0.7923076923076923,0.13956639566395665,0.15500376222723852,,0.015437366563281874
infiltration,7,0.5384615384615384,0.7,1.0,1.0,0.7,0.8235294117647058,,0.12352941176470589
web-attack-�-sql-injection,4,0.009900990099009901,0.009009009009009009,0.25,0.25,0.01904761904761905,0.017391304347826087,,-0.0016563146997929622
heartbleed,2,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8,0.8,,0.0
macro avg,565877,0.6348310419606116,0.6786748458379662,0.8996561463039648,0.9010056303137806,0.6951958095920522,0.7300686060572367,True,0.034872796465184486
weighted avg,565877,0.9912924288605001,0.9925002326767888,0.9807113560013925,0.9842315556207445,0.9852893018215887,0.9878242694819553,True,0.0025349676603666493
