model,class,support,TP,FP,FN,f1
designed_region_constant,benign,2652203,2651625,350619,578,0.9378901243569884
designed_region_constant,bot,41542,0,0,41542,0.0
designed_region_constant,brute_force,37696,0,0,37696,0.0
designed_region_constant,ddos,262680,0,0,262680,0.0
designed_region_constant,dos,39483,38873,90,610,0.9910766642021263
designed_region_constant,infiltration,8742,0,0,8742,0.0
designed_region_constant,web_attacks,127,120,1146,7,0.1722900215362527
matched_random_e1_raw,benign,2652203,2651430,12282,773,0.9975441669025934
matched_random_e1_raw,bot,41542,41417,321,125,0.9946445725264169
matched_random_e1_raw,brute_force,37696,37676,0,20,0.9997346494719525
matched_random_e1_raw,ddos,262680,258746,3,3934,0.992449595246908
matched_random_e1_raw,dos,39483,38866,12,617,0.9919730478171539
matched_random_e1_raw,infiltration,8742,1226,382,7516,0.23690821256038647
matched_random_e1_raw,web_attacks,127,34,78,93,0.28451882845188287
matched_random_e1_calibrated,benign,2652203,2651430,12282,773,0.9975441669025934
matched_random_e1_calibrated,bot,41542,41417,321,125,0.9946445725264169
matched_random_e1_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
matched_random_e1_calibrated,ddos,262680,258746,3,3934,0.992449595246908
matched_random_e1_calibrated,dos,39483,38866,12,617,0.9919730478171539
matched_random_e1_calibrated,infiltration,8742,1226,382,7516,0.23690821256038647
matched_random_e1_calibrated,web_attacks,127,34,78,93,0.28451882845188287
matched_random_e2_raw,benign,2652203,2610530,7085,41673,0.9907476880605743
matched_random_e2_raw,bot,41542,41422,18,120,0.998336988744547
matched_random_e2_raw,brute_force,37696,37676,0,20,0.9997346494719525
matched_random_e2_raw,ddos,262680,262623,36,57,0.9998229714527191
matched_random_e2_raw,dos,39483,38916,6,567,0.9926917926152669
matched_random_e2_raw,infiltration,8742,1772,40826,6970,0.06902999610440202
matched_random_e2_raw,web_attacks,127,102,1461,25,0.12071005917159763
matched_random_e2_calibrated,benign,2652203,2610530,7085,41673,0.9907476880605743
matched_random_e2_calibrated,bot,41542,41422,18,120,0.998336988744547
matched_random_e2_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
matched_random_e2_calibrated,ddos,262680,262623,36,57,0.9998229714527191
matched_random_e2_calibrated,dos,39483,38916,6,567,0.9926917926152669
matched_random_e2_calibrated,infiltration,8742,1772,40826,6970,0.06902999610440202
matched_random_e2_calibrated,web_attacks,127,102,1461,25,0.12071005917159763
matched_random_e3_raw,benign,2652203,2650589,9310,1614,0.9979435635836812
matched_random_e3_raw,bot,41542,41420,151,122,0.9967153152936363
matched_random_e3_raw,brute_force,37696,37676,0,20,0.9997346494719525
matched_random_e3_raw,ddos,262680,261357,6,1323,0.9974639485691059
matched_random_e3_raw,dos,39483,38868,18,615,0.9919228266278758
matched_random_e3_raw,infiltration,8742,1572,1346,7170,0.2696397941680961
matched_random_e3_raw,web_attacks,127,41,119,86,0.2857142857142857
matched_random_e3_calibrated,benign,2652203,2650589,9310,1614,0.9979435635836812
matched_random_e3_calibrated,bot,41542,41420,151,122,0.9967153152936363
matched_random_e3_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
matched_random_e3_calibrated,ddos,262680,261357,6,1323,0.9974639485691059
matched_random_e3_calibrated,dos,39483,38868,18,615,0.9919228266278758
matched_random_e3_calibrated,infiltration,8742,1572,1346,7170,0.2696397941680961
matched_random_e3_calibrated,web_attacks,127,41,119,86,0.2857142857142857
