beta,T,tune_balanced_nll
0.0,0.8,1.293067
0.0,1.0,1.373887
0.0,1.25,1.543571
0.5,0.8,7.661516
0.5,1.0,6.475211
0.5,1.25,5.628717
1.0,0.8,21.329392
1.0,1.0,17.248863
1.0,1.25,14.086372
