model,grouping,groups,replicates,delta_macro_f1_low,delta_macro_f1_high
global_calibrated,exact_vector,2082301,200,0.0,0.0
global_calibrated,time_block,15,200,0.0,0.0
designed_e1_raw,exact_vector,2082301,200,-0.030115133691185285,-0.022933576643162305
designed_e1_raw,time_block,15,200,-0.034333461181669085,0.021370900462016094
designed_e1_calibrated,exact_vector,2082301,200,-0.030115133691185285,-0.022933576643162305
designed_e1_calibrated,time_block,15,200,-0.034333461181669085,0.021370900462016094
designed_e2_raw,exact_vector,2082301,200,-0.07685134553338913,-0.05689809392658682
designed_e2_raw,time_block,15,200,-0.09592699759617065,-0.015191679716600674
designed_e2_calibrated,exact_vector,2082301,200,-0.07685134553338913,-0.05689809392658682
designed_e2_calibrated,time_block,15,200,-0.09592699759617065,-0.015191679716600674
designed_e3_raw,exact_vector,2082301,200,-0.048822217669550826,-0.038128299632291585
designed_e3_raw,time_block,15,200,-0.049527052239611936,-0.003420023939174497
designed_e3_calibrated,exact_vector,2082301,200,-0.048822217669550826,-0.038128299632291585
designed_e3_calibrated,time_block,15,200,-0.049527052239611936,-0.003420023939174497
designed_e4_raw,exact_vector,2082301,200,-0.09793099534615171,-0.08353823443631869
designed_e4_raw,time_block,15,200,-0.1100633129620695,-0.02632342881915519
designed_e4_calibrated,exact_vector,2082301,200,-0.09793099534615171,-0.08353823443631869
designed_e4_calibrated,time_block,15,200,-0.1100633129620695,-0.02632342881915519
matched_random_e1_raw,exact_vector,2082301,200,-0.01645543979231552,0.005039485433135822
matched_random_e1_raw,time_block,15,200,-0.04517026074390621,0.009464369183835602
matched_random_e1_calibrated,exact_vector,2082301,200,-0.01645543979231552,0.005039485433135822
matched_random_e1_calibrated,time_block,15,200,-0.04517026074390621,0.009464369183835602
matched_random_e2_raw,exact_vector,2082301,200,-0.05958203325782062,-0.04782174243022878
matched_random_e2_raw,time_block,15,200,-0.06685294219883184,-0.0012490107064316589
matched_random_e2_calibrated,exact_vector,2082301,200,-0.05958203325782062,-0.04782174243022878
matched_random_e2_calibrated,time_block,15,200,-0.06685294219883184,-0.0012490107064316589
matched_random_e3_raw,exact_vector,2082301,200,-0.009348622417244976,0.007603045528206124
matched_random_e3_raw,time_block,15,200,-0.03638880143317563,0.015649140378273124
matched_random_e3_calibrated,exact_vector,2082301,200,-0.009348622417244976,0.007603045528206124
matched_random_e3_calibrated,time_block,15,200,-0.03638880143317563,0.015649140378273124
