model,macro_f1,accuracy,rows
global_raw,0.7915024962864703,0.9940308426730492,3042473
global_calibrated,0.7915024962864703,0.9940308426730492,3042473
designed_e1_raw,0.7649390750810365,0.9787544540247358,3042473
designed_e1_calibrated,0.7649390750810365,0.9787544540247358,3042473
designed_e2_raw,0.7251564709560949,0.8271074221529657,3042473
designed_e2_calibrated,0.7251564709560949,0.8271074221529657,3042473
designed_e3_raw,0.7482319918605832,0.9608551990436727,3042473
designed_e3_calibrated,0.7482319918605832,0.9608551990436727,3042473
designed_e4_raw,0.7009327564521245,0.7244945148239607,3042473
designed_e4_calibrated,0.7009327564521245,0.7244945148239607,3042473
designed_fixed_region,0.7631830625480125,0.9964923271299367,3042473
designed_validation_region_reference,0.7514008350035084,0.958650742340195,3042473
designed_region_constant,0.3001795442993382,0.8843523015652069,3042473
matched_random_e1_raw,0.7853961532824706,0.995701523070213,3042473
matched_random_e1_calibrated,0.7853961532824706,0.995701523070213,3042473
matched_random_e2_raw,0.7387248779458656,0.983752690656581,3042473
matched_random_e2_calibrated,0.7387248779458656,0.983752690656581,3042473
matched_random_e3_raw,0.7913049119183763,0.9964009540922796,3042473
matched_random_e3_calibrated,0.7913049119183763,0.9964009540922796,3042473
