model,class,window,validation_FPR_target,threshold,positives,negatives,TP,FP,recall,FPR
matched_random_e3_calibrated,bot,full_test,0.001,0.07818442583084106,41542,3000931,41422,2168,0.9971113571806846,0.0007224424686872174
matched_random_e3_calibrated,bot,time_quartile_1,0.001,0.07818442583084106,0,760617,0,1697,,0.002231083449357561
matched_random_e3_calibrated,bot,time_quartile_2,0.001,0.07818442583084106,0,760619,0,183,,0.00024059351659635114
matched_random_e3_calibrated,bot,time_quartile_3,0.001,0.07818442583084106,0,760618,0,175,,0.00023007606972225218
matched_random_e3_calibrated,bot,time_quartile_4,0.001,0.07818442583084106,41542,719077,41422,113,0.9971113571806846,0.00015714589675375516
matched_random_e3_calibrated,bot,full_test,0.01,0.053792331367731094,41542,3000931,41422,23987,0.9971113571806846,0.007993186114575777
matched_random_e3_calibrated,bot,time_quartile_1,0.01,0.053792331367731094,0,760617,0,22978,,0.030209685032020057
matched_random_e3_calibrated,bot,time_quartile_2,0.01,0.053792331367731094,0,760619,0,358,,0.00047066928383329893
matched_random_e3_calibrated,bot,time_quartile_3,0.01,0.053792331367731094,0,760618,0,365,,0.0004798729454206974
matched_random_e3_calibrated,bot,time_quartile_4,0.01,0.053792331367731094,41542,719077,41422,286,0.9971113571806846,0.0003977320926687962
matched_random_e3_calibrated,brute_force,full_test,0.001,0.006918652914464474,37696,3004777,37696,398,1.0,0.000132455752956043
matched_random_e3_calibrated,brute_force,time_quartile_1,0.001,0.006918652914464474,37696,722921,37696,40,1.0,5.533108043617491e-05
matched_random_e3_calibrated,brute_force,time_quartile_2,0.001,0.006918652914464474,0,760619,0,76,,9.991861891433161e-05
matched_random_e3_calibrated,brute_force,time_quartile_3,0.001,0.006918652914464474,0,760618,0,29,,3.812689155397322e-05
matched_random_e3_calibrated,brute_force,time_quartile_4,0.001,0.006918652914464474,0,760619,0,253,,0.00033262382349113026
matched_random_e3_calibrated,brute_force,full_test,0.01,0.0017830535070970654,37696,3004777,37696,3962,1.0,0.001318567068371463
matched_random_e3_calibrated,brute_force,time_quartile_1,0.01,0.0017830535070970654,37696,722921,37696,2526,1.0,0.0034941577295444456
matched_random_e3_calibrated,brute_force,time_quartile_2,0.01,0.0017830535070970654,0,760619,0,324,,0.0004259688490558348
matched_random_e3_calibrated,brute_force,time_quartile_3,0.01,0.0017830535070970654,0,760618,0,285,,0.00037469531354766784
matched_random_e3_calibrated,brute_force,time_quartile_4,0.01,0.0017830535070970654,0,760619,0,827,,0.001087272340028319
matched_random_e3_calibrated,ddos,full_test,0.001,0.01695384830236435,262680,2779793,262680,1286,1.0,0.0004626243752682304
matched_random_e3_calibrated,ddos,time_quartile_1,0.001,0.01695384830236435,262680,497937,262680,514,1.0,0.001032259101050936
matched_random_e3_calibrated,ddos,time_quartile_2,0.001,0.01695384830236435,0,760619,0,182,,0.00023927879792642572
matched_random_e3_calibrated,ddos,time_quartile_3,0.001,0.01695384830236435,0,760618,0,81,,0.00010649235227144243
matched_random_e3_calibrated,ddos,time_quartile_4,0.001,0.01695384830236435,0,760619,0,509,,0.0006691918029920368
matched_random_e3_calibrated,ddos,full_test,0.01,0.006529878359287977,262680,2779793,262680,2263,1.0,0.0008140893944261318
matched_random_e3_calibrated,ddos,time_quartile_1,0.01,0.006529878359287977,262680,497937,262680,903,1.0,0.0018134824284999909
matched_random_e3_calibrated,ddos,time_quartile_2,0.01,0.006529878359287977,0,760619,0,362,,0.0004759281585130006
matched_random_e3_calibrated,ddos,time_quartile_3,0.01,0.006529878359287977,0,760618,0,221,,0.00029055320804924415
matched_random_e3_calibrated,ddos,time_quartile_4,0.01,0.006529878359287977,0,760619,0,777,,0.0010215364065320482
matched_random_e3_calibrated,dos,full_test,0.001,0.011603697203099728,39483,3002990,39483,7065,1.0,0.0023526551869969595
matched_random_e3_calibrated,dos,time_quartile_1,0.001,0.011603697203099728,39483,721134,39483,6053,1.0,0.008393724328626857
matched_random_e3_calibrated,dos,time_quartile_2,0.001,0.011603697203099728,0,760619,0,311,,0.00040887750634680437
matched_random_e3_calibrated,dos,time_quartile_3,0.001,0.011603697203099728,0,760618,0,380,,0.0004995937513968905
matched_random_e3_calibrated,dos,time_quartile_4,0.001,0.011603697203099728,0,760619,0,321,,0.00042202469304605854
matched_random_e3_calibrated,dos,full_test,0.01,0.007129899226129055,39483,3002990,39483,36399,1.0,0.012120919483581363
matched_random_e3_calibrated,dos,time_quartile_1,0.01,0.007129899226129055,39483,721134,39483,34244,1.0,0.04748632015686405
matched_random_e3_calibrated,dos,time_quartile_2,0.01,0.007129899226129055,0,760619,0,663,,0.0008716584781605508
matched_random_e3_calibrated,dos,time_quartile_3,0.01,0.007129899226129055,0,760618,0,664,,0.0008729743445461454
matched_random_e3_calibrated,dos,time_quartile_4,0.01,0.007129899226129055,0,760619,0,828,,0.0010885870586982444
matched_random_e3_calibrated,infiltration,full_test,0.001,0.9707812070846558,8742,3033731,859,37,0.09826126744452071,1.2196203288953437e-05
matched_random_e3_calibrated,infiltration,time_quartile_1,0.001,0.9707812070846558,0,760617,0,32,,4.207110806095578e-05
matched_random_e3_calibrated,infiltration,time_quartile_2,0.001,0.9707812070846558,8028,752591,859,5,0.10700049825610364,6.6437148464438185e-06
matched_random_e3_calibrated,infiltration,time_quartile_3,0.001,0.9707812070846558,714,759904,0,0,0.0,0.0
matched_random_e3_calibrated,infiltration,time_quartile_4,0.001,0.9707812070846558,0,760619,0,0,,0.0
matched_random_e3_calibrated,infiltration,full_test,0.01,0.32274189591407776,8742,3033731,2800,12737,0.3202928391672386,0.004198460575443241
matched_random_e3_calibrated,infiltration,time_quartile_1,0.01,0.32274189591407776,0,760617,0,1560,,0.002050966517971594
matched_random_e3_calibrated,infiltration,time_quartile_2,0.01,0.32274189591407776,8028,752591,2710,3476,0.3375685102142501,0.0046187105612477426
