arm,window,quota,model,split,seed,cls,support,predicted,tp,fp,fn,precision,recall,f1
full_natural,full,natural,xgboost_c0,val,42,backdoor,40676,40566,40566,0,110,1.0,0.997295702625627,0.9986460205312523
full_natural,full,natural,xgboost_c0,val,42,benign,3358442,3605487,3306377,299110,52065,0.9170403332476307,0.9844972758201571,0.9495722888616469
full_natural,full,natural,xgboost_c0,val,42,ddos,828251,861665,808256,53409,19995,0.9380165145387128,0.9758587674509297,0.956563521500477
full_natural,full,natural,xgboost_c0,val,42,dos,40691,30493,29005,1488,11686,0.951201915193651,0.7128111867489125,0.8149303214205439
full_natural,full,natural,xgboost_c0,val,42,injection,76355,69194,68110,1084,8245,0.9843339017833916,0.8920175496038243,0.935904746855011
full_natural,full,natural,xgboost_c0,val,42,mitm,1202,295,267,28,935,0.9050847457627119,0.2221297836938436,0.35671342685370744
full_natural,full,natural,xgboost_c0,val,42,password,318955,319082,318297,785,658,0.9975398173510257,0.9979370130582684,0.997738375674138
full_natural,full,natural,xgboost_c0,val,42,ransomware,794,598,598,0,196,1.0,0.7531486146095718,0.8591954022988506
full_natural,full,natural,xgboost_c0,val,42,scanning,271795,1665,1661,4,270134,0.9975975975975976,0.00611122353244173,0.012148028962188254
full_natural,full,natural,xgboost_c0,val,42,xss,566887,575003,563679,11324,3208,0.9803061897068364,0.9943410238724826,0.9872737303943462
full_natural,full,natural,xgboost_c0,test,42,backdoor,40678,40619,40550,69,128,0.9983012875747803,0.9968533359555534,0.9975767863512799
full_natural,full,natural,xgboost_c0,test,42,benign,3358444,3376214,3085230,290984,273214,0.9138135201145425,0.9186486360945724,0.9162246991606701
full_natural,full,natural,xgboost_c0,test,42,ddos,828252,823374,813544,9830,14708,0.9880613184288064,0.9822421195481569,0.985143125622871
full_natural,full,natural,xgboost_c0,test,42,dos,40692,30748,28945,1803,11747,0.9413620398074671,0.7113191782168485,0.8103303471444568
full_natural,full,natural,xgboost_c0,test,42,injection,76356,72227,68477,3750,7879,0.9480803577609481,0.8968123002776468,0.9217339803342239
full_natural,full,natural,xgboost_c0,test,42,mitm,1204,2514,686,1828,518,0.2728719172633254,0.5697674418604651,0.36901559978483056
full_natural,full,natural,xgboost_c0,test,42,password,318956,437696,318178,119518,778,0.7269383316274309,0.9975607920841746,0.841015420563218
full_natural,full,natural,xgboost_c0,test,42,ransomware,795,2157,575,1582,220,0.2665739452943904,0.7232704402515723,0.3895663956639566
full_natural,full,natural,xgboost_c0,test,42,scanning,271796,177,129,48,271667,0.7288135593220338,0.00047462067138589234,0.0009486235766050307
full_natural,full,natural,xgboost_c0,test,42,xss,566887,718334,562970,155364,3917,0.7837162100081577,0.9930903336996615,0.8760672289046009
full_natural,full,natural,tabpfn,val,42,backdoor,40676,40627,40622,5,54,0.9998769291357964,0.9986724358343987,0.9992743195208049
full_natural,full,natural,tabpfn,val,42,benign,3358442,3673295,3355487,317808,2955,0.9134814927741987,0.999120127725892,0.9543835328312194
full_natural,full,natural,tabpfn,val,42,ddos,828251,803137,799109,4028,29142,0.9949846663769694,0.9648150138062013,0.9796676204557101
full_natural,full,natural,tabpfn,val,42,dos,40691,29121,28456,665,12235,0.9771642457333196,0.6993192597871766,0.815218014094998
full_natural,full,natural,tabpfn,val,42,injection,76355,68625,67615,1010,8740,0.9852823315118397,0.8855346735642722,0.9327493447372052
full_natural,full,natural,tabpfn,val,42,mitm,1202,419,411,8,791,0.9809069212410502,0.34193011647254573,0.5070943861813695
full_natural,full,natural,tabpfn,val,42,password,318955,313330,312464,866,6491,0.9972361408100087,0.9796491668103651,0.9883644242707007
full_natural,full,natural,tabpfn,val,42,ransomware,794,470,456,14,338,0.9702127659574468,0.5743073047858942,0.7215189873417721
full_natural,full,natural,tabpfn,val,42,scanning,271795,17,17,0,271778,1.0,6.254714030795268e-05,0.0001250864568157403
full_natural,full,natural,tabpfn,val,42,xss,566887,575007,562483,12524,4404,0.9782193955899667,0.9922312559645926,0.9851755066582363
full_natural,full,natural,tabpfn,test,42,backdoor,40678,40681,40608,73,70,0.9982055505026917,0.9982791681006933,0.9982423579444192
full_natural,full,natural,tabpfn,test,42,benign,3358444,3402783,3081511,321272,276933,0.9055855163259015,0.9175412780442371,0.911524195238527
full_natural,full,natural,tabpfn,test,42,ddos,828252,814522,807645,6877,20607,0.9915570113514429,0.9751198910476522,0.983269762000129
full_natural,full,natural,tabpfn,test,42,dos,40692,28925,28372,553,12320,0.9808815903197926,0.6972377862970609,0.8150882686700087
full_natural,full,natural,tabpfn,test,42,injection,76356,75027,67462,7565,8894,0.8991696322657177,0.8835193043113835,0.8912757707272283
full_natural,full,natural,tabpfn,test,42,mitm,1204,27418,692,26726,512,0.02523889415712306,0.574750830564784,0.048354412689539515
full_natural,full,natural,tabpfn,test,42,password,318956,396219,297592,98627,21364,0.751079579727373,0.9330189744039931,0.8322214842521062
full_natural,full,natural,tabpfn,test,42,ransomware,795,1998,530,1468,265,0.2652652652652653,0.6666666666666666,0.3795202291442893
full_natural,full,natural,tabpfn,test,42,scanning,271796,10,4,6,271792,0.4,1.4716920042973406e-05,2.9432757187111397e-05
full_natural,full,natural,tabpfn,test,42,xss,566887,716477,561101,155376,5786,0.7831388865239219,0.989793380338586,0.8744222215988605
