arm,split,class,support,global_f1,system_f1,delta_f1,precision,recall,helpful,harmful,net_correction
legacy,cal_confirm,benign,11580,0.9496432548356498,0.9496432548356498,0.0,0.9088971342859399,0.9942141623488774,0,0,0.0
legacy,cal_confirm,bot,173,1.0,1.0,0.0,1.0,1.0,0,0,0.0
legacy,cal_confirm,brute_force,6774,1.0,1.0,0.0,1.0,1.0,0,0,0.0
legacy,cal_confirm,ddos,9758,0.9990254911011951,0.9990254911011951,0.0,1.0,0.9980528796884608,0,0,0.0
legacy,cal_confirm,dos,6165,1.0,1.0,0.0,1.0,1.0,0,0,0.0
legacy,cal_confirm,infiltration,1396,0.30164319248826293,0.30164319248826293,0.0,0.8344155844155844,0.1840974212034384,0,0,0.0
legacy,cal_confirm,web_attacks,33,0.7209302325581395,0.7209302325581395,0.0,0.5849056603773585,0.9393939393939394,0,0,0.0
hdn,cal_confirm,benign,11580,0.9496432548356498,0.9496432548356498,0.0,0.9088971342859399,0.9942141623488774,0,0,0.0
hdn,cal_confirm,bot,173,1.0,1.0,0.0,1.0,1.0,0,0,0.0
hdn,cal_confirm,brute_force,6774,1.0,1.0,0.0,1.0,1.0,0,0,0.0
hdn,cal_confirm,ddos,9758,0.9990254911011951,0.9990254911011951,0.0,1.0,0.9980528796884608,0,0,0.0
hdn,cal_confirm,dos,6165,1.0,1.0,0.0,1.0,1.0,0,0,0.0
hdn,cal_confirm,infiltration,1396,0.30164319248826293,0.30164319248826293,0.0,0.8344155844155844,0.1840974212034384,0,0,0.0
hdn,cal_confirm,web_attacks,33,0.7209302325581395,0.7209302325581395,0.0,0.5849056603773585,0.9393939393939394,0,0,0.0
global,full_test,benign,2652203,0.9978288284774497,0.9978288284774497,0.0,0.9972900902801056,0.9983681490443982,0,0,0.0
global,full_test,bot,41542,0.9981673940826119,0.9981673940826119,0.0,0.9998792270531401,0.9964614125463387,0,0,0.0
global,full_test,brute_force,37696,0.9997346494719525,0.9997346494719525,0.0,1.0,0.9994694397283531,0,0,0.0
global,full_test,ddos,262680,0.9991026981922512,0.9991026981922512,0.0,0.9999656785914494,0.9982412060301508,0,0,0.0
global,full_test,dos,39483,0.991998774932047,0.991998774932047,0.0,0.9996913580246913,0.9844236760124611,0,0,0.0
global,full_test,infiltration,8742,0.35440575763470145,0.35440575763470145,0.0,0.409070498428379,0.3126286890871654,0,0,0.0
global,full_test,web_attacks,127,0.3333333333333333,0.3333333333333333,0.0,0.20593692022263452,0.8740157480314961,0,0,0.0
correctness_oracle,full_test,benign,2652203,0.9978288284774497,0.9997270756761851,0.0018982471987354366,0.9995209733399616,0.9999332630270006,4151,0,0.0015651139826023876
correctness_oracle,full_test,bot,41542,0.9981673940826119,0.9985295181158547,0.0003621240332427611,0.9999517188103515,0.9971113571806846,27,0,0.0006499446343459631
correctness_oracle,full_test,brute_force,37696,0.9997346494719525,0.9997346494719525,0.0,1.0,0.9994694397283531,0,0,0.0
correctness_oracle,full_test,ddos,262680,0.9991026981922512,0.9999961931011379,0.0008934949088866828,0.9999923862312606,1.0,462,0,0.0017587939698492463
correctness_oracle,full_test,dos,39483,0.991998774932047,0.9928323640444853,0.0008335891124382488,0.9999486191393706,0.9858166805967125,55,0,0.00139300458425145
correctness_oracle,full_test,infiltration,8742,0.35440575763470145,0.9527054814640737,0.5982997238293724,0.9793453315617828,0.927476549988561,5375,0,0.6148478609013955
correctness_oracle,full_test,web_attacks,127,0.3333333333333333,0.7949526813880127,0.46161934805467936,0.6631578947368421,0.9921259842519685,15,0,0.11811023622047244
expert1_always,full_test,benign,2652203,0.9978288284774497,0.8947752271067846,-0.1030536013706651,0.9990376273748985,0.8102185239968434,172,499183,-0.1881496250475548
expert1_always,full_test,bot,41542,0.9981673940826119,0.9934380210895044,-0.004729372993107495,0.9901714613673864,0.9967262048047759,13,2,0.00026479225843724423
expert1_always,full_test,brute_force,37696,0.9997346494719525,0.9997346494719525,0.0,1.0,0.9994694397283531,0,0,0.0
expert1_always,full_test,ddos,262680,0.9991026981922512,0.9996115558331365,0.000508857640885374,0.9999695228806973,0.9992538449824881,269,3,0.0010126389523374447
expert1_always,full_test,dos,39483,0.991998774932047,0.9845566194047785,-0.007442155527268568,0.9833501768569984,0.9857660258845579,53,0,0.0013423498720968518
expert1_always,full_test,infiltration,8742,0.35440575763470145,0.027043655731992633,-0.3273621019027088,0.013761365639748481,0.7768245252802563,4083,25,0.46419583619309085
expert1_always,full_test,web_attacks,127,0.3333333333333333,0.015164279696714406,-0.3181690536366189,0.007640531198835728,0.9921259842519685,15,0,0.11811023622047244
expert2_always,full_test,benign,2652203,0.9978288284774497,0.997538781820203,-0.0002900466572467453,0.9952797576822169,0.999808084071996,3898,79,0.001439935027597812
expert2_always,full_test,bot,41542,0.9981673940826119,0.9977928672222691,-0.00037452686034278315,0.9998549708733171,0.9957392518415098,0,30,-0.000722160704828848
expert2_always,full_test,brute_force,37696,0.9997346494719525,0.9997346494719525,0.0,1.0,0.9994694397283531,0,0,0.0
expert2_always,full_test,ddos,262680,0.9991026981922512,0.9918521645686215,-0.007250533623629707,0.9999883918898004,0.9838472666362114,0,3781,-0.014393939393939395
expert2_always,full_test,dos,39483,0.991998774932047,0.9921000574309233,0.00010128249887630947,0.9998970981683474,0.9844236760124611,0,0,0.0
expert2_always,full_test,infiltration,8742,0.35440575763470145,0.22087715816630285,-0.1335285994683986,0.8330838323353293,0.12731640356897736,0,1620,-0.18531228551818807
expert2_always,full_test,web_attacks,127,0.3333333333333333,0.36220472440944884,0.028871391076115527,0.2263779527559055,0.905511811023622,5,1,0.031496062992125984
expert3_always,full_test,benign,2652203,0.9978288284774497,0.9041891636140439,-0.0936396648634058,0.99883451796648,0.8259277287598272,490,457837,-0.172440420284571
expert3_always,full_test,bot,41542,0.9981673940826119,0.9977716481372183,-0.00039574594539359964,0.9985293763109043,0.9970150690867075,23,0,0.0005536565403687834
expert3_always,full_test,brute_force,37696,0.9997346494719525,0.9997346494719525,0.0,1.0,0.9994694397283531,0,0,0.0
expert3_always,full_test,ddos,262680,0.9991026981922512,0.999971448965025,0.0008687507727738186,0.9999428995603266,1.0,462,0,0.0017587939698492463
expert3_always,full_test,dos,39483,0.991998774932047,0.9918601684103088,-0.00013860652173824928,0.9993315679872484,0.984499658080693,3,0,7.598206823189727e-05
expert3_always,full_test,infiltration,8742,0.35440575763470145,0.026166040250903768,-0.3282397173837977,0.013328777955408867,0.7095630290551361,3489,19,0.39693433996797073
expert3_always,full_test,web_attacks,127,0.3333333333333333,0.07149187592319055,-0.26184145741014275,0.03713934929404543,0.952755905511811,10,0,0.07874015748031496
expert4_always,full_test,benign,2652203,0.9978288284774497,0.9027427226350307,-0.09508610584241894,0.9988548441828919,0.8235033291192265,232,464009,-0.17486481992517164
expert4_always,full_test,bot,41542,0.9981673940826119,0.9973721642276815,-0.0007952298549304126,0.9988893181379177,0.9958596119589813,2,27,-0.0006018005873573732
expert4_always,full_test,brute_force,37696,0.9997346494719525,0.9997346494719525,0.0,1.0,0.9994694397283531,0,0,0.0
expert4_always,full_test,ddos,262680,0.9991026981922512,0.9999524158474262,0.0008497176551750529,0.99990483622314,1.0,462,0,0.0017587939698492463
expert4_always,full_test,dos,39483,0.991998774932047,0.9913289638111754,-0.0006698111208716107,0.998253678830992,0.984499658080693,3,0,7.598206823189727e-05
expert4_always,full_test,infiltration,8742,0.35440575763470145,0.026102357370450767,-0.3283034002642507,0.013293029585522871,0.7173415694349119,3556,18,0.4047128803477465
expert4_always,full_test,web_attacks,127,0.3333333333333333,0.06949587012247223,-0.2638374632108611,0.03605200945626478,0.9606299212598425,11,0,0.08661417322834646
expert5_always,full_test,benign,2652203,0.9978288284774497,0.8954443460811473,-0.10238448239630238,0.9989369810819768,0.811382839096404,390,496313,-0.18698530994799417
expert5_always,full_test,bot,41542,0.9981673940826119,0.9973271046041225,-0.0008402894784893533,0.9976634388399094,0.9969909970632131,22,0,0.0005295845168744885
expert5_always,full_test,brute_force,37696,0.9997346494719525,0.9997346494719525,0.0,1.0,0.9994694397283531,0,0,0.0
expert5_always,full_test,ddos,262680,0.9991026981922512,0.9982955325412199,-0.0008071656510312275,0.999927432168174,0.9966689508146794,109,522,-0.0015722552154712958
expert5_always,full_test,dos,39483,0.991998774932047,0.9887209450019052,-0.003277829930141807,0.9916936326343415,0.9857660258845579,53,0,0.0013423498720968518
expert5_always,full_test,infiltration,8742,0.35440575763470145,0.027068057501036864,-0.3273377001336646,0.01376952075380065,0.7913520933424846,4194,9,0.4787234042553192
expert5_always,full_test,web_attacks,127,0.3333333333333333,0.041879289107865564,-0.2914540442254677,0.021418286537077034,0.937007874015748,11,3,0.06299212598425197
