class,correctable_global_errors,scorer_recovered,scorer_recovery_rate,final_recovered
benign,4151,0,0.0,0
bot,27,0,0.0,0
brute_force,0,0,0.0,0
ddos,462,0,0.0,0
dos,55,0,0.0,0
infiltration,5375,0,0.0,0
web_attacks,15,0,0.0,0
