method,rows,balanced_accuracy,macro_auprc,ece_15bin,benign_fpr
racepfn_system,4023114,0.654,0.6389,0.0316,0.002435
global_tabpfn,4023114,0.654,0.6389,0.0316,0.002435
xgboost,4023114,0.7749,0.7426,0.0055,0.002662
