expert,tune_rows,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202122,0.8333,25292,8400,0.4559,-0.0076
2,202122,0.699,47934,12895,0.5499,-0.0542
3,202122,0.8994,7082,13246,0.5396,-0.0093
4,202122,0.6211,59784,16801,0.4541,-0.0276
5,202122,0.6702,49920,16748,0.5364,-0.0215
6,202122,0.8861,5492,17524,0.5484,-0.0043
