a,b,gain_pearson_r
e1,e2,0.9455
e1,e3,0.9404
e1,e4,0.8955
e1,e5,0.9833
e1,e6,0.9366
e2,e3,0.9947
e2,e4,0.8398
e2,e5,0.9766
e2,e6,0.9357
e3,e4,0.8395
e3,e5,0.9732
e3,e6,0.93
e4,e5,0.8784
e4,e6,0.8463
e5,e6,0.9505
