expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,15604,12761,15604,0,0,0,0,0,15604,0
2,20771,12761,20771,0,0,0,0,20771,0,0
3,42022,12761,42022,16,0,39579,0,605,1822,0
4,1894528,12761,186000,97296,20642,0,66904,0,1158,0
5,140,12761,140,0,0,0,0,0,0,140
6,523,12761,523,411,0,0,0,0,0,112
