a,b,agreement
global,e1,0.4808
global,e2,0.5581
global,e3,0.5347
global,e4,0.889
global,e5,0.5241
global,e6,0.5299
e1,e2,0.8146
e1,e3,0.8365
e1,e4,0.5729
e1,e5,0.9114
e1,e6,0.9103
e2,e3,0.9594
e2,e4,0.6111
e2,e5,0.8451
e2,e6,0.8449
e3,e4,0.6165
e3,e5,0.8753
e3,e6,0.8777
e4,e5,0.6127
e4,e6,0.6191
e5,e6,0.981
