K,beta,tune_expert_balanced_nll
2,0.0,1.913234
2,0.5,3.204864
2,1.0,6.298762
4,0.0,1.856478
4,0.5,3.427262
4,1.0,6.936898
8,0.0,1.95896
8,0.5,3.307392
8,1.0,6.948338
