cluster,rows,weighted_mass,mean_residual,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
0,15604,0.26958161459190866,39.87274720455906,0,0,0,0,0,15604,0
1,20771,0.1722148468817698,18.44656820223396,0,0,0,0,20771,0,0
2,42022,0.0710050410361928,3.759368188246815,16,0,39579,0,605,1822,0
3,1894528,0.02038523198176797,0.023939607602313374,1740948,20642,0,131674,0,1264,0
4,140,0.0028392195048573873,2368.737827137798,0,0,0,0,0,0,140
5,523,0.002354823710335619,12.95535416021766,411,0,0,0,0,0,112
