expert,frac_positive,frac_unique_positive,mean_gain_positive
1,0.5931,0.0007,5.0284
2,0.5566,0.0008,9.8396
3,0.7526,0.0024,8.1387
4,0.4829,0.0179,4.9038
5,0.4811,0.0,6.0017
6,0.4393,0.0001,7.1075
