class,correctable_global_errors,scorer_recovered,scorer_recovery_rate,final_recovered
benign,505,0,0.0,0
ddos,290,0,0.0,0
dos,538,0,0.0,0
reconnaissance,24,0,0.0,0
theft,25,0,0.0,0
