class,owner_expert,is_tail,singleton_expert,support,xgb_precision,xgb_recall,xgb_f1,expert_precision,expert_recall,expert_f1,f1_delta,owner_expert_in_rate (↑),other_experts_out_rate (↑),in_rate__flood (owner↑/non-owner↓),in_rate__probe_access (owner↑/non-owner↓),in_rate__application (owner↑/non-owner↓),in_rate__stealth_malware (owner↑/non-owner↓),in_rate__benign (owner↑/non-owner↓)
benign,benign,False,True,100000,,,,0.9302206149829885,0.86944,0.898803924203736,,0.86944,0.6511874999999999,0.67405,0.03469,0.68649,2e-05,0.86944
ddos,flood,False,False,100000,0.9879341139114903,0.99564,0.9917720888534715,0.9786478268998022,0.99459,0.9865545134876431,-0.005217575365828342,0.99549,0.9855675,0.99549,0.0,0.00879,0.0,0.04894
password,probe_access,False,True,100000,0.9984289631156563,0.99777,0.9980993727930217,0.9999579310489893,0.95078,0.9747490798741043,-0.023350292918917437,0.95078,0.9992525,0.00084,0.95078,0.00161,0.0,0.00054
xss,application,False,False,100000,0.9092251396289401,0.99141,0.948540702931032,0.9216622024370921,0.97722,0.9486283417787874,8.763884775542241e-05,0.9807,0.9889325,0.03626,1e-05,0.9807,0.0,0.008
injection,application,False,False,76356,0.9946521085176313,0.9353554403059353,0.9640928725701944,0.9902191761262226,0.9082455864634082,0.9474626172373984,-0.01663025533279594,0.9432002724081932,0.9886354706899261,0.04097909790979098,3.928964325003929e-05,0.9432002724081932,0.0,0.00443972968725444
dos,flood,False,False,40692,0.9394671084032906,0.8222992234345817,0.8769869871181643,0.8831442385944756,0.9067138503882827,0.8947738571601794,0.01778687004201518,0.9067138503882827,0.9693674432320849,0.9067138503882827,0.0,0.11923719650054064,0.0,0.0032930305711196305
backdoor,stealth_malware,True,False,40678,0.9999753979383472,0.9992133339888883,0.999594220719336,1.0,0.9969516692069423,0.9984735079771518,-0.0011207127421841712,0.9969516692069423,0.9993608338659719,0.00029499975416687153,0.0,0.0005408328826392645,0.9969516692069423,0.0017208318993067505
mitm,stealth_malware,True,False,1204,0.8672014260249554,0.8081395348837209,0.8366294067067928,0.0,0.0,0.0,-0.8366294067067928,0.0,0.9451827242524917,0.061461794019933555,0.0,0.01910299003322259,0.0,0.13870431893687707
ransomware,stealth_malware,True,False,795,0.989769820971867,0.9735849056603774,0.9816106531388713,0.0,0.0,0.0,-0.9816106531388713,0.0,0.9566037735849057,0.04654088050314465,0.0,0.04654088050314465,0.0,0.08050314465408805
macro_avg,,,,459725,0.9608317598140222,0.9404265547841879,0.9496657881038605,0.7217039218883228,0.7168126382573291,0.7188302396894081,-0.23083554841445242,,,,,,,
tail_macro_avg,,,,42677,0.9523155483117233,0.9269792581776622,0.9392780935216667,0.3333333333333333,0.33231722306898076,0.3328245026590506,-0.6064535908626161,,,,,,,
weighted_avg,,,,459725,0.9706743170388176,0.9696144434172603,0.9692555817083607,0.9619900523307816,0.955047038990701,0.9578850231527303,-0.011370558555630583,,,,,,,
