true_class,role,owner_expert,support,all_out_rate,owner_only_in_rate,single_non_owner_in_rate,multi_in_rate,mean_experts_in
backdoor,target known,stealth_malware,40678,0.0024583312847239296,0.9969516692069423,0.00034416637986135014,0.0002458331284723929,0.9977875018437484
ddos,target known,flood,100000,0.00089,0.99032,0.00362,0.00517,1.00428
dos,target known,flood,40692,0.012189128084144303,0.868573675415315,0.08109702152757299,0.03814017497296766,1.0259510468888233
injection,target known,application,76356,0.022447482843522448,0.9365341296034365,0.034352244748284355,0.006666142804756666,0.9842186599612343
mitm,target known,stealth_malware,1204,0.9210963455149501,0.0,0.07724252491694353,0.0016611295681063123,0.08056478405315615
password,target known,probe_access,100000,0.04678,0.95078,0.00243,1e-05,0.95323
ransomware,target known,stealth_malware,795,0.9106918238993711,0.0,0.08553459119496855,0.0037735849056603774,0.0930817610062893
xss,target known,application,100000,0.00211,0.96162,0.01719,0.01908,1.01697
unseen::scanning,target unseen,,100000,0.06109,,0.55843,0.38048,1.31941
benign_diagnostic,benign diagnostic,,100000,0.1665,,0.6052,0.2283,1.0618
