expert,class,rows,helpful,harmful,neutral
1,benign,2390,2,52,2336
1,ddos,100000,6381,58,93561
1,dos,100000,241,1863,97896
1,reconnaissance,100000,1,150,99849
1,theft,97,0,0,97
2,benign,2390,2,30,2358
2,ddos,100000,2457,896,96647
2,dos,100000,1637,841,97522
2,reconnaissance,100000,1,115,99884
2,theft,97,0,0,97
3,benign,2390,17,1,2372
3,ddos,100000,136,1226,98638
3,dos,100000,2621,19,97360
3,reconnaissance,100000,0,231,99769
3,theft,97,1,0,96
