class,correctable_global_errors,scorer_recovered,scorer_recovery_rate,final_recovered
benign,347,0,0.0,0
ddos,284,0,0.0,0
dos,667,0,0.0,0
reconnaissance,29,0,0.0,0
theft,1,0,0.0,0
