class_id,class_name,baseline_precision,baseline_recall,baseline_f1,moe_precision,moe_recall,moe_f1,delta_f1
0,bot,0.5161290322580645,0.08205128205128205,0.1415929203539823,0.31614654002713705,0.5974358974358974,0.4134871339840284,0.2718942136300461
1,ddos,0.9998437927129301,1.0,0.9999218902558095,0.9879978388391479,0.9999218841542007,0.9939240997767641,-0.005997790479045362
2,dos-goldeneye,0.9917914051183003,0.9975716367168529,0.9946731234866828,0.9513888888888888,0.9980573093734822,0.9741644939559138,-0.02050862953076904
3,dos-hulk,0.9983479338304023,0.9995212082961544,0.9989342265529841,0.9898981177689519,0.998063069925352,0.9939638263055799,-0.00497040024740425
4,dos-slowhttptest,0.9692307692307692,0.8032786885245902,0.8784860557768924,0.7608318890814558,0.7996357012750456,0.7797513321492007,-0.09873472362769176
5,dos-slowloris,0.9887640449438202,0.9879101899827288,0.9883369330453564,0.8584269662921349,0.9896373056994818,0.9193742478941035,-0.06896268515125292
6,ftp-patator,0.9993252361673415,0.9926273458445041,0.995965030262273,0.995965030262273,0.9926273458445041,0.9942933870426317,-0.0016716432196413056
7,heartbleed,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.33333333333333337
8,infiltration,1.0,0.7142857142857143,0.8333333333333334,0.5833333333333334,1.0,0.7368421052631579,-0.09649122807017552
9,normal,0.9985825795733235,0.9997117952734424,0.9991468683692653,0.9990189183409358,0.9969155494150104,0.9979661255848628,-0.0011807427844024998
10,portscan,0.9998738409133918,0.9983309715005511,0.9991018105608169,0.9998733094732841,0.9941426547000473,0.996999747347145,-0.002102063213671901
11,ssh-patator,1.0,0.99830220713073,0.9991503823279524,0.9742738589211618,0.9966044142614601,0.985312631137222,-0.013837751190730385
12,web-attack-�-brute-force,0.68561872909699,0.6788079470198676,0.6821963394342762,0.7323943661971831,0.17218543046357615,0.27882037533512066,-0.4033759640991555
13,web-attack-�-sql-injection,0.5,0.25,0.3333333333333333,0.010638297872340425,0.25,0.02040816326530612,-0.31292517006802717
14,web-attack-�-xss,0.2631578947368421,0.26717557251908397,0.26515151515151514,0.3333333333333333,0.03816793893129771,0.0684931506849315,-0.19665836446658364
