expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202121,normgain,0.9299,8521,5641,0.7283,0.6476
2,202121,normgain,0.8411,10027,22084,0.7854,0.328
3,202121,normgain,0.9266,8539,6290,0.7782,0.4311
4,202121,normgain,0.9643,179,7035,0.7272,0.4132
