expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,15813,12761,15813,0,0,0,0,0,15792,21
2,1928820,12761,186000,146700,18890,5318,11109,3983,0,0
3,2964,12761,2964,2690,0,0,0,1,42,231
4,3019,12761,3019,146,0,0,0,0,2873,0
