class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,16465,16465,0,19948,19948
bot,0,0,0,19932,19932
brute_force,6976,6976,0,19998,19998
ddos,6,6,0,17554,17554
dos,0,0,0,12840,12840
infiltration,123,123,0,6288,6288
web_attacks,64,64,0,324,324
