expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,12414,12761,12414,5,0,0,0,1,12408,0
2,130,12761,130,0,0,0,0,0,0,130
3,62232,12761,62232,14972,14993,4931,14999,9765,2572,0
