expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,48196,normgain,0.8211,40,8583,0.6689,0.3288
2,48196,normgain,0.7979,226,9514,0.7338,0.1167
3,48196,normgain,0.9032,85,4581,0.7955,0.4999
