round,expert,coverage,regime_tune_rows,marginal,action
0,2,0.6525,16,,dropped(min-support)
0,3,0.1637,0,,dropped(min-support)
0,4,0.2865,0,,dropped(min-support)
0,5,0.42,32,,dropped(min-support)
0,7,0.4811,0,,dropped(min-support)
0,1,0.1179,1412,0.4542,kept(prune off)
0,6,0.5229,87,5.698,kept(prune off)
0,8,0.1845,18204,0.0039,kept(prune off)
