K,beta,tune_expert_balanced_nll
2,0.0,0.286436
2,0.5,0.269995
2,1.0,0.291372
4,0.0,0.267905
4,0.5,0.274774
4,1.0,0.316371
8,0.0,0.212162
8,0.5,0.228946
8,1.0,0.276835
