cluster,rows,weighted_mass,mean_residual,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
0,12414,0.6349004653666869,1.5970168164458851,5,0,0,0,1,12408,0
1,130,0.011352454587850403,71.95266968379526,0,0,0,0,0,0,130
2,62232,0.06327555941189182,0.031334410185270355,14972,14993,4931,14999,9765,2572,0
