expert,frac_positive,frac_unique_positive,mean_gain_positive
1,0.1835,0.067,16.6832
2,0.0642,0.027,18.571
3,0.1062,0.0,23.2343
4,0.1147,0.001,23.885
5,0.0653,0.0,33.3791
