class,winner,rows
benign,benign,3314239
ddos,flood,262784
benign,tail,187940
brute_force,bf_bot,115020
bot,bf_bot,41416
dos,flood,38973
infiltration,benign,25369
dos,bf_bot,21110
infiltration,tail,12201
ddos,benign,1843
benign,flood,540
web_attacks,tail,462
dos,benign,436
ddos,tail,245
benign,bf_bot,207
bot,benign,106
dos,tail,75
infiltration,bf_bot,31
infiltration,flood,30
web_attacks,benign,27
bot,tail,20
brute_force,tail,20
web_attacks,flood,20
