class,support,mean_delta,pct_delta_negative,owner_expert
benign,454537,-0.0004469741531565788,41.925519814668554,Benign
dos-hulk,46025,-0.12642003008090016,100.0,DoS
portscan,31786,-0.04923980118548147,91.33580821745423,DDoS_Scan
ddos,25606,0.0002776450487866538,5.139420448332422,DDoS_Scan
dos-goldeneye,2059,-0.02965974513989698,100.0,DoS
ftp-patator,1588,-0.07830526797473418,77.77078085642317,BruteForce
ssh-patator,1179,0.056784850952088274,0.0,BruteForce
dos-slowloris,1159,-0.10792379213809886,100.0,DoS
dos-slowhttptest,1100,-0.1526639915580611,100.0,DoS
bot,393,-1.7258978918295372e-05,48.854961832061065,WebBot
web-attack-�-brute-force,302,-0.16508794986461187,100.0,WebBot
web-attack-�-xss,130,-0.16303003295462207,100.0,WebBot
infiltration,7,-0.00018422375875627926,100.0,Tail
web-attack-�-sql-injection,4,-0.10449219055323586,100.0,Tail
heartbleed,2,-0.17689347033270597,100.0,Tail
