expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,319977,12761,186000,182196,0,0,0,0,3804,0
2,5751,12761,5751,0,0,0,0,0,5599,152
3,1619698,12761,186000,183826,27,3,99,51,1994,0
