cluster,rows,weighted_mass,mean_residual,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
0,319977,0.37633340244507046,0.7505153620862164,315681,0,0,0,0,4296,0
1,5751,0.06875885834862223,35.8593619660326,0,0,0,0,0,5599,152
2,1619698,0.25560957111778715,0.10070444658261535,1420197,20644,18742,131673,19684,8758,0
