Class,Baseline_Accuracy,Baseline_F1,Ensemble_Accuracy,Ensemble_F1
airplane,0.969,0.6627906976744186,0.975,0.7289719626168224
automobile,0.979,0.7751385589865399,0.989,0.8096602537863283
bird,0.827,0.724485326325011,0.884,0.7889335118250781
cat,0.764,0.6390631534922626,0.831,0.7033432077867118
deer,0.755,0.768056968463886,0.853,0.8289601554907677
dog,0.597,0.6726760563380282,0.654,0.7508610792192881
frog,0.681,0.7845622119815668,0.743,0.8371830985915493
horse,0.592,0.7250459277403551,0.64,0.7687687687687688
ship,0.408,0.5779036827195467,0.55,0.707395498392283
truck,0.35,0.51698670605613,0.478,0.6446392447741065
