cluster,rows,weighted_mass,mean_residual,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
0,16157,0.5298369651235876,47.240315474955295,0,9,0,0,0,16028,120
1,1930943,0.07565435336895172,0.03673446735760589,1739765,20642,18633,131673,18785,1445,0
