class,rows,weight,mean_residual,clipped_rows
backdoor,30129,3.8742088318757366,0.2925326909517179,24
benign,504273,0.23147739694957353,0.04056368052932123,0
ddos,153412,0.7608753183812949,0.11675645389337679,0
dos,17071,6.837593357349969,0.7372745730747685,454
injection,50361,2.31779028727159,0.6802304572347885,481
mitm,821,142.13452054794521,14.465512714470325,64
password,159360,0.7324786137069941,0.12753762574764393,0
ransomware,537,217.0673640167364,97.27353326532248,456
scanning,4470,26.112180526816175,41.29456255707489,4358
xss,246841,0.4728873039730029,0.1198322697003326,0
