a,b,gain_pearson_r
e1,e2,0.9209
e1,e3,0.8781
e1,e4,0.9282
e1,e5,0.9244
e1,e6,0.9683
e1,e7,0.9569
e2,e3,0.7974
e2,e4,0.9622
e2,e5,0.9081
e2,e6,0.9594
e2,e7,0.9469
e3,e4,0.7935
e3,e5,0.9165
e3,e6,0.8336
e3,e7,0.8888
e4,e5,0.924
e4,e6,0.9604
e4,e7,0.9395
e5,e6,0.9113
e5,e7,0.9364
e6,e7,0.9643
