bank,expert,block_rows,residual_regime_rows,identical_to_residual,selector_active
residual,1,3284,3284,True,False
residual,2,186000,1125041,True,True
residual,3,491,491,True,False
residual,4,2315,2315,True,False
residual,5,33567,33567,True,False
residual,6,1217,1217,True,False
residual,7,1314,1314,True,False
