class,fp_global,fp_final,fp_delta,tp_global,tp_final
backdoor,73,70,-3,40000,40002
benign,42609,39459,-3150,1272238,1269846
ddos,1987,2054,67,99810,99833
dos,362,3455,3093,22098,22158
injection,7287,7487,200,66192,66240
mitm,32095,32089,-6,1067,1067
password,51152,51152,0,210378,210378
ransomware,7919,7922,3,648,648
scanning,43,45,2,435,474
xss,107586,109593,2007,307744,307751
