K,beta,tune_expert_balanced_nll
2,0.0,0.917197
2,0.5,1.643353
2,1.0,3.642823
4,0.0,1.035695
4,0.5,2.09335
4,1.0,4.289228
8,0.0,1.268154
8,0.5,2.711486
8,1.0,5.471581
