expert,frac_positive,frac_unique_positive,mean_gain_positive
1,0.2723,0.0014,1.6401
2,0.8248,0.2488,0.5292
3,0.3432,0.0078,1.1818
4,0.3631,0.004,1.1151
5,0.3141,0.0023,1.1803
6,0.3792,0.0,1.0738
7,0.292,0.0012,1.2652
