class,rows,g_ok_f_ok,g_wrong_f_ok_helpful,g_ok_f_wrong_harmful,g_wrong_f_wrong,g_wrong_f_wrong_changed
backdoor,40030,40000,2,0,28,0
benign,1474302,1269846,0,2392,202064,5
ddos,103338,99810,23,0,3505,30
dos,22458,22098,60,0,300,0
injection,68891,66192,48,0,2651,38
mitm,1161,1067,0,0,94,0
password,210951,210378,0,0,573,0
ransomware,709,648,0,0,61,0
scanning,6029,435,39,0,5555,0
xss,343854,307705,46,39,36064,2875
