expert,proposed,accepted,accept_rate
1,23350,22199,0.9507
2,351137,328904,0.9367
3,16075,14997,0.9329
4,12018,11737,0.9766
5,8620,5042,0.5849
6,14214,13332,0.9379
7,7032,4459,0.6341
total,432446,400670,0.17637273558440003
